titulo,precio,ubicacion,dorm,ban,sup
"b'1 Dormitorio,  '",U$S 67.000, Nueva Córdoba ,1,1,45
b'VILLA CENTENARI',U$S 78.000, Centenario ,2,2,sin datos
b'DUPLEX GREENVIL',U$S 185.000, Greenville 2 ,3,3,sin datos
b'2 Dormitorios! ',U$S 91.500, Los Naranjos ,2,2,65
b'A estrenar. Rom',U$S 38.000, Pueyrredon ,1,1,47
b'B\xc2\xba Pueyrredon ',U$S 37.000, Pueyrredon ,1,1,47
b'Pueyrredon * Im',U$S 28.600, General Paz ,1,1,53
b'Pueyrredon * Im',U$S 36.900, Pueyrredon ,1,1,45
b'B\xc2\xbaPUEYRREDON- ',U$S 43.000, Pueyrredon ,2,1,sin datos
b'Capillo 987. 45',U$S 39.900, Cofico ,1,1,45
b'***Venta 1 Dor ',U$S 60.900, Centro ,1,1,46
b'\xc2\xa1Oportunidad 1',U$S 30.500, Pueyrredon ,1,1,49
b'DPTO EN VENTA N',U$S 49.000, Nueva Córdoba ,1,1,sin datos
"b'Cofico 1 dor,  '",U$S 48.000, Cofico ,1,1,45
"b'Centro 1 dor., '",U$S 55.000, Centro ,1,1,45
b'A estrenar a me',U$S 55.000, Nueva Córdoba ,1,1,70
b'VENDO DEPARTAME',U$S 85.000, Centro ,2,2,sin datos
b'SALVATIERRA VEN',U$S 60.000, Juniors ,3,1,sin datos
b'D\xc3\x9aPLEX VENTA U',U$S 144.000, Urca ,3,2,sin datos
b'Venta departame',U$S 53.000, General Paz ,1,1,45
b'DUPLEX EN VENTA',U$S 130.000, Nuevo Poeta Lugones ,3,3,sin datos
b'Excelente Oport',U$S 57.000, Centro ,2,1,sin datos
b'Oportunidad Dpt',U$S 57.500, General Paz ,1,1,41
b'Oportunidad Dpt',U$S 61.500, General Paz ,1,1,40
b'B\xc2\xba GENERAL PAZ',U$S 35.000, General Paz ,1,1,sin datos
b'Alta C\xc3\xb3rdoba- ',U$S 53.000, Alta Córdoba ,1,1,50
b'D\xc3\xbaplex en vent',U$S 78.000, Valle Escondido ,3,2,sin datos
b'CASA EN HOUSING',U$S 260.000, Villa Warcalde ,4,3,sin datos
b'Semi piso de 3 ',U$S 71.900, Alberdi ,3,2,124
b'Departamento D\xc3',U$S 113.000, General Paz ,2,2,sin datos
b'VENDE DEPARTAME',U$S 46.000, Centro ,2,1,sin datos
b'DEPARTAMENTO AP',U$S 31.500, Alberdi ,1,1,sin datos
b'FTE AL PARQUE S',U$S 69.900, Nueva Córdoba ,1,1,sin datos
b'IMPERDIBLE DPTO',U$S 56.000, Alberdi ,2,2,sin datos
b'VENTA. espectac',U$S 26.500, Las Palmas ,1,1,45
b'Departamento 3 ',U$S 200.000, Valle Escondido ,3,2,100
b'Nva. Cba. Ituza',U$S 45.000, Nueva Córdoba ,1,1,sin datos
b'Nva. Cba. Chaca',U$S 54.000, Nueva Córdoba ,1,1,sin datos
b'Pueyrred\xc3\xb3n 325',U$S 55.000, Nueva Córdoba ,1,1,sin datos
b'2 Dptos. de 1 d',U$S 50.000, Centro ,1,2,sin datos
b'Obispo Trejo 10',U$S 205.000, Nueva Córdoba ,2,3,sin datos
b'EXCELENTE OPORT',U$S 58.000, Nueva Córdoba ,1,1,sin datos
b'KABAL&#039;S VE',U$S 73.000, Nueva Córdoba ,1,1,63
b'OPORTUNIDAD!! D',U$S 33.000, Jardín ,1,1,sin datos
b'VENDO DEPARTAME',U$S 105.000, General Paz ,3,2,80
b'Oportunidad- Id',U$S 22.500, San Vicente ,1,1,45
b'MILENICA UNIVER',U$S 55.000, Maipu Sección 1 ,1,1,sin datos
b'VENDO DUPLEX PR',U$S 185.000,sin ubicacion,3,2,sin datos
b'\xc2\xa1\xc2\xa1OPORTUNIDAD',U$S 42.000, General Paz ,1,1,42
b'VENTA PISO DE C',U$S 240.000, Nueva Córdoba ,3,4,sin datos
b'MANANTIALES- La',U$S 194.000, Manantiales ,3,2,90
b'BALCON un dormi',U$S 52.000, General Paz ,1,1,sin datos
b'OPORTUNIDAD! De',U$S 30.000, Alberdi ,1,1,sin datos
b'Chile 185- Nva ',U$S 76.000, Nueva Córdoba ,2,1,72
b'Nueva C\xc3\xb3rdoba-',U$S 65.000, Nueva Córdoba ,1,1,62
b'BV LAS HERAS 10',U$S 140.000, Centro ,3,1,sin datos
b'NUEVA CORDOBA!-',U$S 350.000, Nueva Córdoba ,2,2,200
b'DEPARTAMENTO 3 ',consultar, Villa Belgrano ,3,4,sin datos
b'MODERNOS DEPTOS',U$S 79.000, Nueva Córdoba ,1,1,sin datos
b'VENDO EXCELENTE',U$S 98.500, General Paz ,2,2,sin datos
b'DUPLEX 3 DORMIT',U$S 120.000,sin ubicacion,3,2,sin datos
b'Venta- Oportuni',U$S 55.000, Cofico ,3,1,sin datos
b'DPTO EN VENTA |',U$S 78.000, Nueva Córdoba ,2,1,sin datos
b'VENTA- Dpto B\xc2\xb0',U$S 37.500, San Martin ,1,1,62
b'Hermoso Departa',U$S 98.000, General Paz ,2,2,sin datos
b'GENERAL PAZ A M',U$S 86.500, General Paz ,1,1,sin datos
b'VALLE ESCONDIDO',U$S 169.000, Valle Escondido ,3,2,sin datos
b'DEPTO MAS COCHE',U$S 36.900, Alto Alberdi ,1,1,45
b'HERMOSO DUPLEX ',U$S 185.000, Inaudi ,3,3,180
b'Mediland Villag',U$S 150.000, Urca ,2,2,134
b'Departamento d\xc3',U$S 119.600, General Paz ,2,2,sin datos
b'POSIBILIDAD REA',U$S 46.000, Nueva Córdoba ,1,1,sin datos
b'ALTA CORDOBA- H',U$S 48.000, Alta Córdoba ,1,1,45
b'DEPARTAMENTO 1 ',U$S 55.000, Nueva Córdoba ,1,1,43
b'DEPARTAMENTO UN',U$S 56.000, General Paz ,2,2,51
b'VENTA Departame',U$S 49.000, San Martin ,1,1,45
b'DPTO EN PLENO C',U$S 81.500, Nueva Córdoba ,1,1,42
b'B\xc2\xb0 JUNIORS DEP',U$S 45.000, Juniors ,2,1,sin datos
b'Nva. Cba. 2 Dor',U$S 135.000, Nueva Córdoba ,2,1,75
b'VENTA- 2 dormit',U$S 105.000, Nueva Córdoba ,2,2,sin datos
b'\xc2\xa11Dor en la Me',U$S 65.000, Nueva Córdoba ,1,1,42
b'2Dor Nva Cba co',U$S 106.000, Nueva Córdoba ,2,sin datos,60
b'DEPTO 1 DORM EN',U$S 50.000, General Paz ,1,1,sin datos
b'B\xc2\xb0 Gral. Paz s',U$S 56.000, General Paz ,1,1,sin datos
b'VENTA 1DORMITOR',U$S 38.000, Alberdi ,1,1,35
b'B\xc2\xba ALTO ALBERD',U$S 35.000, Alto Alberdi ,1,1,sin datos
"b'B\xc2\xba Maip\xc3\xba,  de'",U$S 49.000, Maipu Sección 1 ,2,1,sin datos
b'VILLA BELGRANO!',U$S 135.000, Villa Belgrano ,1,2,sin datos
b'Vendo depto en ',U$S 60.000, Centro ,1,1,43
b'Balcones del Ch',U$S 60.000, Chateau Carreras ,3,1,sin datos
b'EXCLUSIVO PISO ',U$S 169.000, Nueva Córdoba ,2,2,98
b'B\xc2\xba GENERAL PAZ',U$S 51.000, General Paz ,1,1,sin datos
b'B\xc2\xba JARD\xc3\x8dN- A ',U$S 110.000, Villa Revol ,3,2,120
b'DEPARTAMENTO EN',U$S 55.000, Alberdi ,1,1,sin datos
b'VENDO GRAL. BUS',U$S 32.000, General Bustos ,2,sin datos,160
b'EXCELENTE DPTO ',U$S 54.500, General Paz ,1,1,sin datos
b'Venta Depto- Ge',U$S 35.000, General Paz ,1,1,40
b'Venta Departame',U$S 37.000, Alta Córdoba ,1,1,42
b'Nueva Cordoba! ',U$S 72.000, Nueva Córdoba ,1,1,50
b'VENDO DPTO 2 DO',U$S 59.000, Centro ,2,2,sin datos
"b'Gral Paz,  Lama'",U$S 55.000, General Paz ,1,1,sin datos
b'OPORTUNIDAD!! B',U$S 68.000, Chateau Carreras ,2,1,90
b'SAN PIERO DEPAR',U$S 130.000,sin ubicacion,1,2,sin datos
b'DPTO EN VENTA 1',consultar, Tejas 1 ,1,2,sin datos
b'Departamento un',U$S 60.000, Nueva Córdoba ,1,1,sin datos
b'NVA CBA VENTA D',U$S 67.000, Nueva Córdoba ,1,1,77
